                                                                                                                       
{'loss': 84.9368, 'grad_norm': 6.102746963500977, 'learning_rate': 0.000474, 'epoch': 8.38}
{'loss': 84.1103, 'grad_norm': 4.628373622894287, 'learning_rate': 0.000477, 'epoch': 8.43}
{'loss': 83.7608, 'grad_norm': 5.389164924621582, 'learning_rate': 0.00047999999999999996, 'epoch': 8.49}
{'loss': 84.7058, 'grad_norm': 5.178078651428223, 'learning_rate': 0.000483, 'epoch': 8.54}
{'loss': 83.9595, 'grad_norm': 4.202561378479004, 'learning_rate': 0.000486, 'epoch': 8.59}
{'loss': 84.1554, 'grad_norm': 4.984949111938477, 'learning_rate': 0.000489, 'epoch': 8.65}
{'loss': 84.5628, 'grad_norm': 5.190149784088135, 'learning_rate': 0.0004919999999999999, 'epoch': 8.7}
{'loss': 84.1122, 'grad_norm': 4.7876973152160645, 'learning_rate': 0.0004949999999999999, 'epoch': 8.76}
{'loss': 85.0274, 'grad_norm': 4.855019569396973, 'learning_rate': 0.000498, 'epoch': 8.81}
{'loss': 84.6668, 'grad_norm': 4.037006378173828, 'learning_rate': 0.0005009999999999999, 'epoch': 8.86}
{'loss': 83.9685, 'grad_norm': 4.476341724395752, 'learning_rate': 0.0005039999999999999, 'epoch': 8.92}
{'loss': 83.7263, 'grad_norm': 4.770704746246338, 'learning_rate': 0.000507, 'epoch': 8.97}
{'loss': 42.314, 'grad_norm': 3.101527452468872, 'learning_rate': 0.0005099999999999999, 'epoch': 9.0}
{'loss': 82.275, 'grad_norm': 3.9622673988342285, 'learning_rate': 0.0005129999999999999, 'epoch': 9.05}
{'loss': 81.5451, 'grad_norm': 4.265216827392578, 'learning_rate': 0.000516, 'epoch': 9.11}
{'loss': 82.0994, 'grad_norm': 3.904191017150879, 'learning_rate': 0.0005189999999999999, 'epoch': 9.16}
{'loss': 82.3002, 'grad_norm': 4.761922836303711, 'learning_rate': 0.000522, 'epoch': 9.22}
{'loss': 82.1435, 'grad_norm': 4.348531723022461, 'learning_rate': 0.000525, 'epoch': 9.27}
{'loss': 83.0987, 'grad_norm': 4.533994197845459, 'learning_rate': 0.0005279999999999999, 'epoch': 9.32}
{'loss': 82.1868, 'grad_norm': 4.531166076660156, 'learning_rate': 0.000531, 'epoch': 9.38}
{'loss': 81.3562, 'grad_norm': 4.496545314788818, 'learning_rate': 0.000534, 'epoch': 9.43}
{'loss': 82.6933, 'grad_norm': 4.449901103973389, 'learning_rate': 0.0005369999999999999, 'epoch': 9.49}
{'loss': 83.1417, 'grad_norm': 4.144786357879639, 'learning_rate': 0.00054, 'epoch': 9.54}
{'loss': 82.2101, 'grad_norm': 4.187254428863525, 'learning_rate': 0.000543, 'epoch': 9.59}
{'loss': 83.1572, 'grad_norm': 3.9450292587280273, 'learning_rate': 0.0005459999999999999, 'epoch': 9.65}
{'loss': 82.9444, 'grad_norm': 4.385554313659668, 'learning_rate': 0.000549, 'epoch': 9.7}
{'loss': 82.3524, 'grad_norm': 4.3191728591918945, 'learning_rate': 0.000552, 'epoch': 9.76}
{'loss': 82.4393, 'grad_norm': 4.058969497680664, 'learning_rate': 0.0005549999999999999, 'epoch': 9.81}
{'loss': 82.6554, 'grad_norm': 3.9062912464141846, 'learning_rate': 0.000558, 'epoch': 9.86}
{'loss': 82.6414, 'grad_norm': 4.060166358947754, 'learning_rate': 0.000561, 'epoch': 9.92}
{'loss': 82.9736, 'grad_norm': 3.727891683578491, 'learning_rate': 0.0005639999999999999, 'epoch': 9.97}
{'loss': 41.1593, 'grad_norm': 2.798584461212158, 'learning_rate': 0.0005669999999999999, 'epoch': 10.0}
{'loss': 80.2265, 'grad_norm': 4.393874645233154, 'learning_rate': 0.00057, 'epoch': 10.05}
{'loss': 80.298, 'grad_norm': 4.028888702392578, 'learning_rate': 0.0005729999999999999, 'epoch': 10.11}
{'loss': 80.1124, 'grad_norm': 3.944108247756958, 'learning_rate': 0.0005759999999999999, 'epoch': 10.16}
{'loss': 81.2203, 'grad_norm': 4.225531578063965, 'learning_rate': 0.000579, 'epoch': 10.22}
{'loss': 80.4682, 'grad_norm': 4.229746341705322, 'learning_rate': 0.0005819999999999999, 'epoch': 10.27}
{'loss': 80.3947, 'grad_norm': 4.118617057800293, 'learning_rate': 0.0005849999999999999, 'epoch': 10.32}
{'loss': 80.2399, 'grad_norm': 3.9969065189361572, 'learning_rate': 0.000588, 'epoch': 10.38}
{'loss': 80.2368, 'grad_norm': 4.192568302154541, 'learning_rate': 0.0005909999999999999, 'epoch': 10.43}
{'loss': 80.355, 'grad_norm': 3.9564130306243896, 'learning_rate': 0.0005939999999999999, 'epoch': 10.49}
